price_ori,delivery,item_category_detail,title,item_rating,seller_name,price_actual
169,"KL City, Kuala Lumpur",Shopee | Muslim Fashion | Muslimin Wear | Baju Melayu,Baju Melayu Lelaki Dewasa Regular  Slim Fit Baby Blue Black Olive Emerald Green Lilac Mustard Nude Sedondon Raya 2022 | Shopee Malaysia,4.9,busanashuhana,130.13
19.99,,Shopee | Cameras & Drones | Other Cameras | Video Camcorders,Kids Digital Camera HD 1080P Video Camera Photography Educational Toys for Children Baby Birthday Gift | Shopee Malaysia,4.9,xing258,16.99
44.99,"KL City, Kuala Lumpur",Shopee | Muslim Fashion | Telekung | Telekung Travel,TELEKUNG ALEENA TRAVEL | Shopee Malaysia,4.9,vareedawardah,44.99
24.9,,"Shopee | Games, Books & Hobbies | Bahasa Malaysia Books | Literature & Novels",Buku Fixi Novel Bestseller Introvert | Shopee Malaysia,4.9,bukufixi.os,22.41
169.9,,Shopee | Men's Bags & Wallets | Crossbody Bags | Crossbody Bags,Chr1st1annn D10rrr Baby Unisex Unique Design Camera Bag Crossbody Sling Shoulder Bag | Shopee Malaysia,4.9,thebrandhaus,169.9
33.07,"KL City, Kuala Lumpur",Shopee | Sports & Outdoor | Basketball | Basketball Jerseys,Cute 2022-2023 Paris Saint-Germain PSG Home Football Jersey Mbappe Neymar Maria Messi Ramos Soccer Souvenir Tee | Shopee Malaysia,4.6,yubangcar1.my,8.89
33,"KL City, Kuala Lumpur",Shopee | Women Clothes | Outerwear | Vests,Women's autumn new style Korean knit vest student all-match sleeveless top V-neck waistcoat | Shopee Malaysia,4.9,sunny777.my,14.09
239.9,"KL City, Kuala Lumpur",Shopee | Men Shoes | Loafers & Slip-Ons | Slip Ons & Mules,Dr Cardin Men Faux Leather  Slip-On Moccasin Shoe MI-60935 | Shopee Malaysia,4.9,drcardin.os,107
50,"KL City, Kuala Lumpur",Shopee | Men Shoes | Sneakers | Others,Big Size Converse Low Cut Chuck Taylor Kasut Perempuan Lelaki Sekolah Hitam Sneakers All Star Shoes Men Women Shoe | Shopee Malaysia,4.9,akeemmart,21.2
0.69,"KL City, Kuala Lumpur",Shopee | Gaming & Consoles | Top-ups & Reloads,【admire】极速代付🔥 抖 . 音商城代付  DY商品代付 DY商城好友代付 DY商品好友代付 代购 代付 DY付款 DY商品 小程序 快速代付〽️〽️〽️ | Shopee Malaysia,5,yt_studio88,0.69
68.9,,Shopee | Women Clothes | Sports & Beachwear | Swimsuits,[READY STOCK]Korean Style Premium Quality Side Ribbon Tie 2pcs Swimsuit Swimwear Bikini/现货气质交叉蝴蝶结泳衣泳装套装[L244] | Shopee Malaysia,4.7,laceleymy,45.9
332,"KL City, Kuala Lumpur",Shopee | Cameras & Drones | Point & Shoot Cameras | Point & Shoot Cameras,4.5 inch IPS Screen Dual Lens Industrial Endoscope 2.0 MP Bore Scope Snake Camera IP68 Sewer Pipe Drain Inspection Camera with 8 LED | Shopee Malaysia,4.9,flyingxing.my,175.99
7.65,"KL City, Kuala Lumpur",Shopee | Muslim Fashion | Hijab | Shawl Hijab,"🧜‍♀️🧜‍♀️Shawl Satin🧚‍♀️🧚‍♀️ Muna Ombra,💝💝Ready Stock In Malaysia | Shopee Malaysia",4.9,muizcollection,7.14
5.09,,Shopee | Sports & Outdoor | Acrobatic & Martial Arts | Protection Gear, Jae【Ready Stock】Sports Strap Boxing Bandage Muay MMA Taekwondo Hand Glove Wrap | Shopee Malaysia,5,jaelin.my,3.11
4.98,,Shopee | Muslim Fashion | Kain Pasang & Songket | Kain Pasang Cotton,Kain como crepe heavy premium (harga untk 0.5m)bidang 60 murah kain pasang soft | Shopee Malaysia,4.7,nurlainafashionzone,2.49
300,"KL City, Kuala Lumpur",Shopee | Muslim Fashion | Muslimin Wear | Baju Melayu,Baju Melayu Slimfit (Black) | Shopee Malaysia,4.9,adnaa.hq,189
24.88,"KL City, Kuala Lumpur","Shopee | Games, Books & Hobbies | Hobby Toys | RC Toys",UTP 【Ready stock】Remote Control 2 in 1 Sports  Scale 1:18 Transformation Car Robot Models Deformation Car kereta mainan | Shopee Malaysia,4.9,ffu1999,21.9
25.8,,Shopee | Groceries & Pets | Household Supplies | Dishwasher,Clean N Fresh Lemon All In One 50 Dishwasher Tablets imported from UK 🇬🇧 | Shopee Malaysia,4.9,essentials.mart,25.8
